passion,intro_video,blurb,mini_project,mini_project_link,summary,project,notes,abbreviation,field,subfield_1,subfield_2,primary_subcategory,secondary_subcategory,keywords,user_ids
Visual Studies,,"Visual studies explores culture through a wide variety of media. Visual studies is similar to art history, but focuses on how images affect us currently and how our culture affects the images we create.",,,,,"I think this is better encompassed by cinema studies and art history. It's kind of like a contemporary study of all visual things (images, films, art, video games) but its a bit too broad",,Creative,Art & Design,,,,,
Art History,https://www.youtube.com/watch?v=0OloYD_kSbU,"Art history studies artistic design and development in historical contexts. Unlike other forms of art appreciation, art history is concerned with things like how and why an author creates a work of art based on his/her social environment.",Watch at least five videos in this video series (not including the introductory video) and write about at least three common themes you found throughout them,https://www.khanacademy.org/humanities/art-history-basics/beginners-art-history,"Art history is as much about discovering similarities between cultures as it is about differences. By examining the similarities between these historical analyses of art, you will begin to see how art history is conducted and how it can contribute to understanding art in historical contexts.","Choose a famous piece of art (you may use a website like http://totallyhistory.com/art-history/famous-paintings/ to get ideas) and conduct a research project on it. You may write about the artist, the artist's social and political environment, the reason for the work's creation, what previous works of art inspired the piece, how this piece has inspired future art, what people thought about the art at the time, how opinions about the piece have changed over time, etc. You may also include your opinion about the artwork.",,,Creative,Art & Design,,,,,
Creative Arts,https://www.youtube.com/watch?v=Z6bxR9XHUH8&list=PLkUJGaipeBW2OOkY4ms5ZEijqURJ6D8xT,"Creative arts involves the actual creation of art. This includes drawing, painting, sculpting, and all forms of art creation.","Watch all the ""elements of art"" videos in this playlist.",https://www.youtube.com/watch?v=po3EFoQ9MyU&index=2&list=PLkUJGaipeBW2OOkY4ms5ZEijqURJ6D8xT,"Art is about exploration as well as expression. Although you may be comfortable creating art in specific ways, learning new tools will help you gain greater perspective on how to create impactful. Many of these techniques are presented in a basic form. You may independently look up some of these techniques in more advanced form.",Use some of the techniques you learned in the mini-project to create your own work of art.,,,Creative,Art & Design,,,,,
Architechture,https://www.youtube.com/watch?v=BLzVNjED2yg,"Architecture is the practice of planning, designing, and building structures. It can be viewed as both an art and a science. Architecture incorporates creative design philosophies and also uses scientific principles to design stronger buildings or buildings that perform certain functions.","Read through this lesson to get a better idea of the science behind bridge-building, which is one application of architectural skills.",http://www.siue.edu/SIPDC/Library/lesson%20plan/Science%20Session%20CD/ABE-GED%20Activity%209--Building%20Bridges-The%20Basics.pdf,"Bridges are among the most important structures built by architects. Not only do they serve an extremely functional purpose (transporting people and objects across gaps that would be otherwise impossible to pass), they must be built with the utmost safety in mind. A bridge that collapses could cause injuries for hundreds of people. ",Build a popsicle bridge that can hold at least fifty pounds without breaking. The bridge you create should use structural design ideas that are used in bridges around the world!,,,Creative,Art & Design,,,,,
Arabic,https://www.youtube.com/watch?v=ityVW2gR0Rs,"Arabic is ancient language and one of the most widely spoken in the world. Many of its speakers reside in the Middle East as well as parts of North and East Africa. Given it is the liturgical language of Islam, Arabic reaches all corners of the world.","Begin by learning the Arabic alphabet, which consists of 28 letters.",http://www.salaamarabic.com/alphabet/en,"Once you've learned the basics of the alphabet, you can then proceed to learn a bit more about subject pronouns, numbers, and grammar.",http://www.salaamarabic.com/course/2/en,,,Creative,Languages,,,,,
Chinese,https://www.youtube.com/watch?v=pEz3XZFgs8Q,"Chinese encompasses a large group of related dialects, the most widely-spoken of which is Mandarin. With over a billion speakers in China alone, Chinese dialects are among the most spoken languages in the world. Its importance in Western business is rising as the West increases its trade with China.",Begin by learning Chinese characters and their significance.,http://www.bbc.co.uk/languages/chinese/guide/alphabet.shtml,"After learning about Chinese characters, you can also learn about tones and how they affect meaning.",http://www.bbc.co.uk/languages/chinese/real_chinese/mini_guides/,,,Creative,Languages,,,,,
Dutch,https://www.youtube.com/watch?v=R7RjcohN0K0,"Dutch is a West Germanic language, and is one of the most closely related languages to English. It is primarily spoken by people in the Netherlands.","Although Dutch shares its alphabet with English, the pronunciation of its alphabet can be very different for certain letters. Learn and practice the differences with the following video.",https://www.youtube.com/watch?v=ZCA2DyqYvF0,"If you are over 13 and have an email address, you can begin learning Dutch through Duolingo.com. Try completing at least five practice modules on the website.",https://www.duolingo.com/,,,Creative,Languages,,,,,
French,https://www.youtube.com/watch?v=_4N46dVx9nE,"French is a Romance language and is the primary language of over two dozen countries, including several countries in Western and Central Africa. It is also a popular language for conducting business, especially in Europe.",Counting numbers is an easy and fun way to begin your introduction to a language. Try learning how to count to 100 in French!,http://www.thefrenchexperiment.com/learn-french/numbers.php,"If you are over 13 and have an email address, you can begin learning French through Duolingo.com. Try completing at least five practice modules on the website.",https://www.duolingo.com/,,,Creative,Languages,,,,,
Greek,https://www.youtube.com/watch?v=6cAzXzidaeo,"Greek is one of the oldest recorded languages in the world. It was widely used during classical antiquity, and maintains its importance in the study of Greek literature and theater.",Start by learning the Greek alphabet in this mini-project.,http://www.bbc.co.uk/languages/greek/guide/alphabet.shtml,"After learning the Greek alphabet, you can try to learn several essential Greek phrases",http://www.bbc.co.uk/languages/greek/talk/,,,Creative,Languages,,,,,
German,https://www.youtube.com/watch?v=QWcZGv_fWR8,"German is a major world language, with nearly 100 million native speakers and a similar amount who speak it as a foreign language. It is also highly related to English and Dutch.","German is related to English, but you will soon learn that pronunciation can be very different between the two languages. Watch this video to help you practice your German pronunciation.",https://www.youtube.com/watch?v=p3kd2prpZJ4,"If you are over 13 and have an email address, you can begin learning German through Duolingo.com. Try completing at least five practice modules on the website.",https://www.duolingo.com/,,,Creative,Languages,,,,,
Hebrew,https://www.youtube.com/watch?v=V5cdDZRxLeI,Hebrew is spoken in Israel and is the language of Jewish liturgy. It is also an important language for those who wish to study biblical texts.,"There are many reasons to study Hebrew. For this mini-project, write a brief explanation of what your reason is, and how you can guide your learning to best achieve your goals.",http://www.google.com,"Learn the Hebrew alphabet using the Project link. It is quite different from the English alphabet, so you may need to work hard to understand all of its nuances.",http://www.cartoonhebrew.com/,,,Creative,Languages,,,,,
Hindi,https://www.youtube.com/watch?v=WkgdcOSsbCc,"Hindi, the fourth most-spoken language in the world, is the official language of India but is also spoken by several emigrants and their descendants.",Introduce yourself to the language by learning to introduce yourself and gaining an understand for fundamental grammar.,http://www.learning-hindi.com/post/716551335/lesson-1-saying-hello,"After learning the basics of Hindi, try challenging yourself to learn more advanced concepts.",http://www.learning-hindi.com/intermediate,,,Creative,Languages,,,,,
Italian,https://www.youtube.com/watch?v=wg3v35MHZSE,"Italian is a Romance language, one of the closest to Latin. It is popular in several areas of Europe, with most speakers residing in Italy.",Practice your Italian pronunciation with the following video.,https://www.youtube.com/watch?v=e4A2jOYqhm4,"If you are over 13 and have an email address, you can begin learning Italian through Duolingo.com. Try completing at least five practice modules on the website.",https://www.duolingo.com/,,,Creative,Languages,,,,,
Japanese,https://www.youtube.com/watch?v=MYiEcPEZS2U,"Japanese is primarily spoken in Japan, but is widely studied throughout the world by non-Japanese students. For example, learning Japanese can foster a greater appreciation for Japanese popular culture (including video games, manga, and anime)","Japanese doesn't have as many consonants as English, but it is important to be effective in your pronunciation. Watch this video to begin practicing your Japanese pronunciation.",https://www.youtube.com/watch?v=GnfM8wQ9PZk,Develop your Japanese alphabet skills by learning both Hiragana and Katakana,http://www.freejapaneselessons.com/lesson01.cfm,,,Creative,Languages,,,,,
Korean,https://youtu.be/x9_BmcUk_Xs,"This passion stems from one or two things: 1) an interest in a language that does not use the Roman alphabet or 2) East Asian cultures. Perhaps you watched Korean drama on Netflix or came across a Korean music video on YouTube. Or maybe the Korean characters (Hangul) seem easier to learn than Chinese characters (good news, it is easier to learn). Pursuing this passion will provide an introduction of Hangul, how to read it, and how to pronounce the characters. You won’t understand Korean after this mini-project, but you will have the tools you need to dive deeper into the language. You’re well on your way, you polyglot!","Write about why you are interested in learning Korean. You may have been inspired by friends and family, or by music or film/television. Whatever the case, knowing why you are interested in the language will help motivate you through the difficult task of actually learning it!",http://www.google.com,Complete all 6 lessons  on this website. After this introduction to Korean you should be able to recognize and draw a few basic characters and understand a bit more about the origins of the Korean language,http://www.learnlangs.com/RWP/Korean/index.htm,,,Creative,Languages,,,,,
Latin,https://youtu.be/jlayFpwZlCQ?t=1m4s,"Although Latin is not actively spoken by present-day populations, its influence on current languages cannot be understated. Romance languages, such as French, Spanish, Italian, and Portuguese, are descendants of Latin. And because of the influence of Romance languages on the English language, several English words and phrases have Latin roots. In addition to being able to read Latin texts, learning Latin will allow you to have a better understanding and appreciation for contemporary languages.","Given that Latin is not generally spoken today, why are you interested in studying it? As mentioned in the introductory paragraph, Latin can be very helpful for understanding language today. It can also help in learning concepts in law, medicine, and science. Write about what Latin can offer to you. Feel free to use a search engine to discover new applications of the language. ",http://www.google.com,"Although Latin's alphabet is similar to English's, there are subtle, but important differences. Practice the alphabet and the pronunciation using this video.",https://www.youtube.com/watch?v=B-UQ7VY-bRM,,,Creative,Languages,,,,,
Persian,https://www.youtube.com/watch?v=4Pkdp7Le0cM,"Also known as Farsi, Persian is the official language of Iran, Afghanistan, and Tajikistan, and is spoken sporadically in other countries. It has influenced Arabic, and remains an extremely important language for those interested in international relations with the Middle East.",Try learning a few Farsi phrases using the following website. Choose at least 5 of the beginner phrases to practice and learn. ,http://www.persianlanguageonline.com/learn/beginner/,"Persian has a much different alphabet than English. Try learning the Persian alphabet, as well as some Persian numbers.",http://www.persianlanguageonline.com/alphabet/,,,Creative,Languages,,,,,
Portuguese,https://www.youtube.com/watch?v=5en7I8hNtM4,"Portuguese is a Romance language spoken in Portugal, Brazil, multiple countries in the Southern Africa. Accordingly, it has a large presence in South America and bears linguistic resemblance to French, Italian, and especially Spanish.",Practice your Brazilian Portuguese pronunciation with the following video.,https://www.youtube.com/watch?v=gKoPzk4U2Vs,"If you are over 13 and have an email address, you can begin learning Portuguese through Duolingo.com. Try completing at least five practice modules on the website.",https://www.duolingo.com/,,,Creative,Languages,,,,,
Russian,https://www.youtube.com/watch?v=CjXXdLjnTFU,"Russian is spoken in Russia and neighboring countries, particularly those that were previously part of the Sovient Union. As one of the six official languages of the United Nations, Russian holds an important place in international relations.",Try learning the Russian alphabet!,http://www.russianforeveryone.com/RufeA/Lessons/Introduction/Alphabet/Alphabet.htm,"If you are over 13 and have an email address, you can begin learning Russian through Duolingo.com. Try completing at least five practice modules on the website.",https://www.duolingo.com/,,,Creative,Languages,,,,,
Swedish,https://www.youtube.com/watch?v=epqzb44SWAU,"Swedish is a North Germanic language that is highly related to Norwegian and Danish. It is mainly spoken in Sweden, but people who speak Swedish can often understand Norwegian and Danish, making it a versatile language to know.",Learn how to introduce yourself in Swedish!,https://www.youtube.com/watch?v=cEkQDtOWwgo,"If you are over 13 and have an email address, you can begin learning Swedish through Duolingo.com. Try completing at least five practice modules on the website.",https://www.duolingo.com/,,,Creative,Languages,,,,,
